2024-06-10T15:19:30.517Z [INFO] - Server is running on port 3000
2024-06-10T15:19:31.573Z [INFO] - MongoDB connected successfully.
2024-06-10T15:20:00.728Z [INFO] - Running scheduled task
2024-06-10T15:20:00.804Z [INFO] - Read data from file: C:\Users\Dell\Desktop\server\EVAL4\MOCK_DATA.json
2024-06-10T15:22:09.286Z [INFO] - Processing chunk: 46 / 50
2024-06-10T15:22:09.415Z [INFO] - Processing chunk: 47 / 50
2024-06-10T15:22:09.822Z [INFO] - Processing chunk: 48 / 50
2024-06-10T15:22:09.948Z [INFO] - Processing chunk: 49 / 50
2024-06-10T15:22:10.072Z [INFO] - Processing chunk: 50 / 50
2024-06-10T15:23:00.105Z [INFO] - Running scheduled task
2024-06-10T15:23:00.110Z [INFO] - Read data from file: C:\Users\Dell\Desktop\server\EVAL4\MOCK_DATA.json
2024-06-10T15:23:00.112Z [INFO] - Parsed data successfully from file: C:\Users\Dell\Desktop\server\EVAL4\MOCK_DATA.json
2024-06-10T15:23:00.114Z [INFO] - Processing chunk: 1 / 50
2024-06-10T15:23:00.238Z [INFO] - Processing chunk: 2 / 50
2024-06-10T15:23:00.362Z [INFO] - Processing chunk: 3 / 50
2024-06-10T15:23:00.487Z [INFO] - Processing chunk: 4 / 50
2024-06-10T15:23:00.615Z [INFO] - Processing chunk: 5 / 50
2024-06-10T15:23:00.749Z [INFO] - Processing chunk: 6 / 50
2024-06-10T15:23:01.238Z [INFO] - Processing chunk: 7 / 50
2024-06-10T15:23:01.363Z [INFO] - Processing chunk: 8 / 50
2024-06-10T15:23:01.489Z [INFO] - Processing chunk: 9 / 50
2024-06-10T15:23:01.617Z [INFO] - Processing chunk: 10 / 50
2024-06-10T15:23:01.741Z [INFO] - Processing chunk: 11 / 50
2024-06-10T15:23:02.218Z [INFO] - Processing chunk: 12 / 50
2024-06-10T15:23:02.344Z [INFO] - Processing chunk: 13 / 50
2024-06-10T15:23:02.470Z [INFO] - Processing chunk: 14 / 50
2024-06-10T15:23:02.595Z [INFO] - Processing chunk: 15 / 50
2024-06-10T15:23:02.721Z [INFO] - Processing chunk: 16 / 50
2024-06-10T15:23:03.187Z [INFO] - Processing chunk: 17 / 50
2024-06-10T15:23:03.311Z [INFO] - Processing chunk: 18 / 50
2024-06-10T15:23:03.439Z [INFO] - Processing chunk: 19 / 50
2024-06-10T15:23:03.563Z [INFO] - Processing chunk: 20 / 50
2024-06-10T15:23:03.684Z [INFO] - Processing chunk: 21 / 50
2024-06-10T15:23:04.185Z [INFO] - Processing chunk: 22 / 50
2024-06-10T15:23:04.311Z [INFO] - Processing chunk: 23 / 50
2024-06-10T15:23:04.438Z [INFO] - Processing chunk: 24 / 50
2024-06-10T15:23:04.563Z [INFO] - Processing chunk: 25 / 50
2024-06-10T15:23:04.702Z [INFO] - Processing chunk: 26 / 50
2024-06-10T15:23:05.183Z [INFO] - Processing chunk: 27 / 50
2024-06-10T15:23:05.312Z [INFO] - Processing chunk: 28 / 50
2024-06-10T15:23:05.436Z [INFO] - Processing chunk: 29 / 50
2024-06-10T15:23:05.559Z [INFO] - Processing chunk: 30 / 50
2024-06-10T15:23:05.685Z [INFO] - Processing chunk: 31 / 50
2024-06-10T15:23:06.181Z [INFO] - Processing chunk: 32 / 50
2024-06-10T15:23:06.303Z [INFO] - Processing chunk: 33 / 50
2024-06-10T15:23:06.428Z [INFO] - Processing chunk: 34 / 50
2024-06-10T15:23:06.557Z [INFO] - Processing chunk: 35 / 50
2024-06-10T15:23:06.681Z [INFO] - Processing chunk: 36 / 50
2024-06-10T15:23:06.806Z [INFO] - Processing chunk: 37 / 50
2024-06-10T15:23:07.243Z [INFO] - Processing chunk: 38 / 50
2024-06-10T15:23:07.367Z [INFO] - Processing chunk: 39 / 50
2024-06-10T15:23:07.494Z [INFO] - Processing chunk: 40 / 50
2024-06-10T15:23:07.621Z [INFO] - Processing chunk: 41 / 50
2024-06-10T15:23:07.746Z [INFO] - Processing chunk: 42 / 50
2024-06-10T15:23:08.220Z [INFO] - Processing chunk: 43 / 50
2024-06-10T15:23:08.345Z [INFO] - Processing chunk: 44 / 50
2024-06-10T15:23:08.472Z [INFO] - Processing chunk: 45 / 50
2024-06-10T15:23:08.598Z [INFO] - Processing chunk: 46 / 50
2024-06-10T15:23:08.899Z [INFO] - Processing chunk: 47 / 50
2024-06-10T15:23:09.194Z [INFO] - Processing chunk: 48 / 50
2024-06-10T15:23:09.319Z [INFO] - Processing chunk: 49 / 50
2024-06-10T15:23:09.446Z [INFO] - Processing chunk: 50 / 50
